	T1	n1	T2	n2	T3	n3	T4	n4	T5	n5	T6	n6	T7	n7	T8	n8	T9	n9	T10	n10	T11	n11	T12	n12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	n27	T27	T28	n28	n29	T29	T30	T31	T32	n32	T33	n33	n34	T34	T35	n35	n36	T36	T37	T38	T39	n39	T40	n40
control_11	913.1678	1031.027	141.7829	143.8318	139.1607	100.0332	107.2603	105.4583	736.8495	608.329	594.8856	538.3488	145.6903	7421.338	1086.508	1209.566	264.7219	290.783	168.5078	197.3854	1181.303	1308.318	168.5502	140.9691	994.7191	361.5872	418.5592	1206.266	821.9491	837.3901	739.4049	361.9697	489.3059	1020.794	333.0303	375.2491	1347.914	347.2224	255.7371	305.537	237.5937	365.315	354.9395	431.3014	519.184	601.7393	430.3429	363.0673	316.7782	509.1015	400.7009	615.0842	631.9763	217.2696	314.9115	290.4538	990.3951	217.9957	339.9442	355.9157	251.4111	268.4332
control_12	913.1678	1031.027	141.7829	143.8318	139.1607	100.0332	107.2603	105.4583	736.8495	608.329	594.8856	538.3488	145.6903	7421.338	1086.508	1209.566	264.7219	290.783	168.5078	197.3854	1181.303	1308.318	168.5502	140.9691	994.7191	361.5872	418.5592	1206.266	821.9491	837.3901	739.4049	361.9697	489.3059	1020.794	333.0303	375.2491	1347.914	347.2224	255.7371	305.537	237.5937	365.315	354.9395	431.3014	519.184	601.7393	430.3429	363.0673	316.7782	509.1015	400.7009	615.0842	631.9763	217.2696	314.9115	290.4538	990.3951	217.9957	339.9442	355.9157	251.4111	268.4332
D00265	583.1888	856.8325	71.0225	459.2363	98.33375	65.61375	154.2637	156.3675	1139.69	290.3938	229.445	621.66	294.3712	372.845	275.8275	531.355	81.4175	172.7863	340.3338	105.7338	936.3963	504.1125	64.625	56.1225	436.83	362.7738	314.58	638.7638	739.8838	530.215	308.6525	105.285	211.2813	380.9113	554.7975	171.8725	324.08	374.39	284.705	783.3238	286.7263	468.315	598.67	509.465	1268.574	607.7775	861.4213	680.2375	350.0125	821.875	397.5125	541.1288	645.9688	781.7388	303.1212	385.2263	171.96	338.1163	643.5063	778.6463	195.2637	495.6588
D00596	79.81	120.1963	60.00125	63.345	23.14875	21.78625	152.7925	47.68125	120.69	21.54125	262.5488	85.8175	32.06375	49.20875	110.2	46.3	18.95125	22.79125	71.46	39.6525	142.8163	73.27875	44.665	11.31375	115.4775	166.7113	128.8725	94.91375	169.58	605.3913	96.65	81.26625	185.3775	139.6263	113.3525	186.805	121.2225	105.2163	18.27875	207.6688	31.4775	149.0625	157.77	775.1063	180.67	416.4738	415.9588	66.02625	104.9263	69.13125	205.8438	243.7888	93.09	49.85	163.8638	56.56125	40.82125	48.09375	188.605	126.3088	341.555	72.0325
D00749	250.3012	383.5631	215.7357	319.3214	149.0345	144.956	238.1417	250.6321	310.6548	282.8441	598.7976	505.7988	225.6643	224.8226	230.4333	147	257.0512	240.9536	235.7583	237.3262	357.4714	373.6952	138.7321	64.775	281.5143	224.0155	199.6369	400.6571	498.5321	553.5321	322.0762	204.4369	223.0476	265.2631	224.0667	130.2905	406.0131	106.5905	132.8655	271.7988	120.0155	400.9726	539.7202	476.6821	803.1988	635.2143	393.6857	294.8238	283.0381	332.0071	301.1786	420.8048	213.2274	218.5393	237.9714	184.4369	212.3214	186.0131	348.7536	277.625	229.4964	269.8548
D00760	42.1675	37.4175	6.15625	21.02875	30.60375	28.0125	39.35375	56.235	206.9238	52.7525	116.9538	43.01125	67.1875	46.5675	69.29625	107.2088	79.45875	58.53625	71.12125	41.06625	98.65	37.6475	104.6838	18.3475	74.19875	47.13625	45.29625	103.0788	74.19	107.0413	98.0125	40.21	43.55125	157.89	85.69125	137.5613	34.1825	132.7213	50.5425	124.0363	12.49125	79.325	242.4775	364.4938	124.4525	483.8538	534.7813	70.0325	20.4625	29.72	30.40375	245.7638	34.47375	98.985	70.16375	55.05625	7.435	7.19875	80.82375	30.15125	65.615	72.45875
D00761	166.1738	358.4987	61.40375	169.6075	385.3813	239.5175	310.4938	347.74	980.4263	433.915	1449.82	413.165	376.8763	229.6338	472.7288	410.3538	284.6375	181.3963	482.4113	289.9962	435.88	202.1763	636.0988	91.69875	784.0688	259.4788	249.4763	808.47	491.155	719.8538	659.91	429.0575	708.8625	613.6313	405.3663	815.6338	327.3425	770.6688	300.1788	425.0588	249.55	531.8063	1314.104	1456.401	747.1613	1917.793	2539.435	568.2988	224.9063	530.1325	403.4863	1251.414	367.715	593.2713	350.4288	488.055	270.09	204.4013	705.265	393.0888	394.6775	518.9925
D00762	309.4667	413.6357	41.34762	124.7619	282.7405	95.33333	216.181	219.7881	835.175	239.0012	1212.469	245.1988	503.7905	179.4452	546.2571	234.1071	49.41667	71.94405	323.6143	157.9155	341.1083	221.3191	88.1631	21.84286	630.7167	267.6369	253.5702	777.2607	449.1798	815.4952	517.2679	534.8429	409.9857	840.3952	429.0869	841.8774	236.2119	783.3	257.4845	537.3964	409.7131	556.3179	938.8631	1753.364	777.4667	1732.513	1869.75	605.7726	205.0798	487.925	546.0226	2050.629	603.4679	482.8083	384.7917	425.1024	262.7798	222.4774	993.8667	355.7762	561.5833	422.4524
D00763	221.2325	198.3513	54.95375	98.0275	185.8675	167.56	209.3838	244.7913	541.24	246.32	303.7013	254.83	302.7588	209.9663	309.3775	163.9075	137.2275	164.1087	236.3338	220.1913	299.575	218.825	267.39	41.385	391.2088	139.8725	143.625	372.3888	283.7675	450.7738	316.0338	161.2225	250.7475	321.4538	148.3613	408.77	158.9675	414.0463	223.7663	239.3475	80.31875	333.42	121.2375	349.3313	473.1025	498.21	1218.944	151.1725	64.44625	206.785	102.4788	390.9613	215.78	359.0238	62.59	226.57	92.28875	97.61125	485.1863	86.92125	182.2325	217.4538
D00860	77.94405	50.46905	26.475	40.37857	69.03333	58.60238	54.51905	78.52381	208.0179	54.14405	134.4857	71.08929	43.25357	20.36667	87.23095	47.23571	33.90119	16.78333	67.79048	50.27381	47.12976	59.71667	129.8155	15.05952	64.22619	47.28691	41.25833	140.5786	169.1893	149.5202	143.7214	53.55476	51.61071	157.281	64.31071	153.5595	108.7179	92.78095	52.33214	77.05119	26.04524	76.50476	113.3226	190.7738	127.3905	177.2143	179.5262	63.52857	28.19048	47.95952	24.50119	148.1976	61.14881	77.11786	24.90357	76.18452	47.99167	26.10238	134.3083	30.02262	72.54048	99.22976
D10522_1	142.7688	352.3375	179.5917	187.0167	74.29167	90.77708	115.8833	231.9271	149.4854	115.4438	444.9583	389.9625	127.9188	206.9063	150.2938	42.4875	47.15208	120.3479	49.73542	142.1813	171.7542	374.4979	38.3375	18.18125	153.1542	106.0979	159.2146	117.1438	407.6792	188.2688	400.4396	282.9375	151.875	90.68125	324.5021	118.8521	38.83958	147.2063	81.66667	219.7208	82.375	187.6188	787.8188	513.5896	592.4458	518.4229	188.3563	221.6688	179.1438	154.7833	56.09583	139.775	157.4813	113.4458	141.6125	139.3354	86.74375	21.025	150.0438	293.1979	154.7	277.1146
D10522_2	107.6088	331.3074	154.2824	174.2103	38.79706	45.57647	75.76029	65.74118	114.3897	83.80882	351.4427	337.0824	95.61324	180.5824	119.475	38.00588	46.72941	104.0471	35.09412	86.64412	156.575	336.8823	33.30441	14.99412	88.43677	90.70294	125.5853	84.90588	354.4588	154.575	305.4427	234.7735	135.725	80.22941	245.0162	86.78088	37.31471	100.0721	37.62059	188.2059	64.72794	158.35	590.3353	438.1103	531.8059	434.0074	146.7485	162.6265	141.0632	124.4294	65.04559	116.9559	100.8029	108.0779	107.5074	88.07794	55.58971	21.39706	94.59853	239.4838	141.9662	234.7324
D10523	145.705	122.7238	21.56875	89.8325	181.2738	176.1838	62.01125	316.26	156.0462	230.655	347.7088	213.8663	169.6963	192.7337	170.35	100.425	95.7975	141.0638	231.0813	277.8475	129.8775	140.465	151.6363	70.68125	357.7438	84.4275	134.445	225.8475	207.5275	263.8338	215.0975	136.6788	209.2975	304.2513	185.0313	198.4	154.5462	179.2488	237.4838	197.4212	98.4975	432.7313	598.9063	453.1713	659.9813	660.69	739.24	305.9538	154.5738	206.2163	15.73125	473.4575	229.1375	390.6988	154.49	351.6688	119.7438	55.8275	326.7263	260.4675	108.9463	270.935
D11086	213.4675	147.0088	70.225	165.1488	182.8375	300.7438	142.705	269.1575	393.8163	533.1313	902.5638	289.0088	211.5063	240.3438	287.3438	28.855	93.08625	270.28	307.9438	345.5538	96.97625	269.6425	124.27	53.14875	370.8675	90.47625	115.9163	726.5625	172.2988	148.695	115.8425	394.4488	309.7375	288.155	165.285	111.2875	131.9413	80.76	288.3525	71.70625	111.3663	576.3288	1113.168	507.2825	934.9263	741.38	1158.706	934.6163	195.6575	342.8238	213.2788	442.4675	255.9713	550.9313	233.1813	352.425	253.9388	65.6825	287.2487	238.5863	163.2213	230.7838
D11466	127.105	118.0213	26.01	100.0663	132.7863	99.8275	86.2975	119.0025	299.2288	155.3925	252.04	138.995	125.715	101.9938	146.8363	62.18375	76.2075	91.335	102.5263	137.7513	138.0738	129.7012	110.665	45.8	177.5238	69.45625	78.22	183.9688	178.5788	170.8913	137.7038	109.0475	104.105	189.2637	110.9863	192.0313	106.5963	145.3163	163.265	96.4825	75.43875	285.145	358.6538	437.0913	373.24	407.5313	808.5625	278.2313	135.7825	218.0888	219.4175	375	138.93	254.6338	126.725	208.36	82.70875	23.89125	181.28	128.6813	132.7563	195.5525
D12686	583.1375	882.6875	383.3638	363.4875	763.4225	495.76	567.5963	542.9313	509.0138	1248.5	2440.338	839.4325	656.2613	332.3388	689.9263	346.625	231.2763	221.7225	377.4362	735.065	640.53	724.8987	514.7525	237.7688	541.265	655.3288	670.005	805.8238	1853.896	1015.579	1175.405	619.5738	689.7675	889.725	508.135	508.7175	1396.543	533.0375	490.0838	848.1338	397.6638	496.075	1025.46	939.81	1412.314	1408.389	1231.06	1132.77	800.2488	631.04	680.4738	1056.826	591.9113	740.7688	815.5975	665.2737	998.5438	304.54	696.0363	802.5338	489.3825	789.915
D12765	482.6388	634.8638	334.7475	327.0088	460.6125	295.9888	456.1113	500.86	135.525	794.19	1859.973	497.3575	544.435	496.5338	766.9313	206.5513	196.6988	173.825	180.2063	379.7975	669.785	1186.995	423.0938	140.005	678.6288	505.105	424.04	861.63	986.49	920.1338	950.6338	416.4663	384.5763	640.63	379.66	309.5125	564.2263	424.1525	611.635	661.1575	265	859.0525	1218.679	799.14	1509.466	1236.125	1785.584	1011.465	895.8438	757.8888	973.97	918.8738	573.735	1010.458	730.7025	645.4025	524.8938	384.5963	792.7525	955.9475	415.845	631.925
D13138	603.1869	385.6417	273.0762	317.7571	235.2369	118.4821	206.7976	1649.737	744.6071	225.6393	509.1905	389.0464	497.2714	204.5393	366.1464	198.9274	165.4881	102.4369	1013.977	98.2881	336.9667	395.5417	105.5655	43.31667	318.1298	161.4583	162.8441	1927.016	1569.651	392.1619	437.2536	108.3964	56.32976	281.6071	414.5762	90.60595	1815.826	242.1857	265.6988	320.1881	202.506	285.9893	328.6191	299.9143	506.1381	890.7417	457.6095	272.7524	200.2095	398.2929	588.7	971.0702	304.8155	316.7679	212.6417	153.1321	283.5071	845.2345	394.7667	258.2059	163.7679	240.3048
D13243	163.0738	231.9738	118.7575	136.6763	167.8013	134.1663	144.515	161.925	16.46	341.625	486.2713	201.145	180.22	151.65	253.6038	78.3875	46.91	72.705	73.665	162.3125	245.08	461.2088	91.77375	52.0525	129.7188	121.245	144.75	207.6238	271.4313	208.1825	320.5663	124.1538	167.2075	232.2713	135.76	110.385	156.0813	142.13	149.8288	241.92	88.38	224.67	586.0275	406.1713	559.8488	516.9963	470.785	343.2263	313.7975	248.18	274.7475	297.9388	250.9925	466.1175	206.4875	178.18	174.1387	88.695	157.6263	320.3875	165.3363	254.3788
D13315_1	973.5338	1250.11	986.4725	953.865	552.36	349.105	408.97	401.9375	1755.855	492.4638	925.97	889.3013	575.2975	496.8588	778.6537	335.9163	345.5088	223.8838	657.45	318.8875	996.655	983.3838	653.4788	80.75625	819.0988	615.465	541.8663	1374.785	1763.465	1365.138	1537.349	170.9263	385.3775	1313.455	683.9025	468.3725	984.9338	603.3375	1061.003	1516.809	1590.989	864.8	1317.486	1092.42	1228.171	1302.029	1339.404	888.1	921.3325	1104.605	997.1875	1628.544	1055.016	1081.61	809.4263	503.6625	822.63	1148.704	1397.191	943.0838	1090.369	606.7038
D13315_2	270.0479	409.8833	172.8938	202.0458	164.05	65.3875	158.7729	156.2229	748.4521	130.7938	273.8708	318.95	182.5771	163.1542	221.8938	99.29375	110.1729	68.63542	187.4521	95.73333	321.3396	229.2917	166.1063	21.80833	232.4896	197.2625	178.2771	520.3313	650.0042	452.7625	582.1458	63.18125	154.2313	404.6271	309.4333	184.2042	370.6229	282.3792	225.1646	451.4208	416.5646	233.6063	369.2917	403.6063	349.1729	420.9771	474.4354	271.6146	204.1854	153.3646	280.0458	521.6875	297.3854	321.1208	148.0063	98.70208	190.3083	268.775	450.5875	232.2354	285.1292	127.1875
D13627	59.30625	209.335	54.775	62.30125	173.6075	42.8575	162.7513	63.82375	102.4475	242.6863	1079.014	104.3988	193.0525	67.08625	140.0338	79.43125	82.82125	38.615	45.7475	91.16	250.7413	209.2413	99.02875	44.49125	220.565	292.71	286.0513	480.0788	678.8838	623.265	299.3575	284.5475	221.8975	297.7125	191.8425	315.375	325.2825	294.4538	116.0625	191.8313	70.40625	135.7675	431.7875	556.5588	542.8688	429.9213	849.6075	409.37	146.6363	133.6725	203.6325	257.3788	116.1088	127.1938	197.695	90.8775	119.0175	69.215	166.5575	208.9588	234.255	160.6113
D13630	34.27625	135.7663	29.30375	32.785	107.0638	25.69625	28.97375	18.9725	83.23375	210.86	318.8925	77.22375	104.0588	35.55	30.74875	59.84	47.145	54.92	38.90125	82.69	78.02625	186.815	58.31	39.89125	116.48	99.9125	170.085	192.8275	384.2325	257.7388	218.26	237.0563	87.55	183.84	87.93625	133.6338	121.6513	151.0675	102.82	139.3763	29.46625	93.9875	358.94	760.1638	555.6763	249.1138	376.1225	347.125	82.8025	112.39	88.675	122.5725	51.7775	59.4725	54.9075	89.955	26.02375	27.93875	205.34	183.0525	41.2625	80.0425
D13634	236.42	261.3725	467.3713	205.1538	244.525	150.4638	237.5263	266.7413	303.4513	452.38	1110.994	354.65	218.6975	214.6038	429.2075	73.565	107.715	100.365	85.44875	193.6788	474.1775	593.9463	467.235	74.9325	238.665	241.5675	206.7275	370.17	403.3138	506.4213	363.005	181.5013	172.5388	228.3688	172.5788	124.7963	373.3175	185.53	262.5463	397.9825	113.815	293.5413	470.5363	536.0475	628.2688	588.595	704.7	319.4962	226.315	224.2925	396.85	274.4388	272.7	355.9913	236.3113	191.3863	254.4325	161.345	216.8825	176.76	189.9063	171.4225
D13636	105.8525	164.3225	56.665	83.8775	111.4438	65.62375	105.1813	100.34	64.8125	153.2325	234.2413	98.68375	99.71	80.8125	212.0363	67.61375	31.03875	35.24625	64.3025	113.0088	172.8725	268.8888	26.94625	10.5425	128.7713	96.71	79.62875	133.8163	260.9838	159.205	160.3275	89.24875	71.03625	130.7138	61.1325	65.12625	242.61	72.1625	147.855	135.4613	49.1375	118.9013	263.6413	253.4538	302.5275	226.0275	234.1238	221.34	173.8438	118.1288	144.1013	90.41	76.77375	185.12	122.3988	112.3738	135.7113	48.8775	142.6438	202.8725	64.71875	112.4288
D13639	807.2571	1211.067	96.92024	326.5631	320.4726	99.84286	202.8952	201.331	378.8179	260.4476	56.09762	790.9786	525.075	332.2155	499.9714	226.7143	27.34881	45.68691	252.231	90.89524	962.8952	596.9845	12.93929	31.34167	859.9321	135.275	252.3262	1137.205	1357.669	828.0214	325.9976	123.8095	277.6155	854.2417	171.4952	202.369	705.4833	403.4869	404.8762	445.9774	1063.514	417.3191	1218.774	148.3667	1174.476	658.2988	1558.723	729.3083	172.4357	856.1917	164.8345	259.2119	886.6405	1040.881	158.7726	257.0167	436.9	593.4798	648.0274	754.9357	493.4071	244.5155
D13641	85.315	166.7988	40.35875	26.45375	147.0875	44.65875	96.9575	42.21	114.6188	301.4738	649.2388	111.0088	165.0513	77.29625	85.865	60.13625	87.81625	38.9275	34.61875	81.65875	165.6075	216.98	157.1175	38.28375	216.8788	243.6325	222.625	333.8413	664.2638	452.3025	268.1638	213.295	149.1075	262.9925	86.835	135.695	437.2288	220.165	115.64	286.0725	58.375	81.37375	409.52	891.8425	462.4713	381.0488	675.2063	303.2638	134.485	178.7563	133.4525	224.17	78.825	129.0563	142.645	102.725	32.7825	69.235	240.7475	163.355	113.2675	124.8775
D13665	233.3875	174.4025	732.9875	85.98125	186.9488	72.11	141.2325	62.4	423.9625	108.645	88.2125	394.8513	264.665	40.9975	362.9513	40.29	154.5588	21.0475	144.1838	43.4575	73.91125	158.7863	20.82875	14.71625	87.73875	272.9987	144.775	269.2625	612.3763	492.1025	2434.403	249.8163	20.0075	1109.443	543.0613	180.0288	42.5875	132.9638	255.3188	233.5375	270.2275	115.0638	350.435	156.3775	302.7775	369.725	118.6575	306.9925	189.9088	140.0988	249.825	157.4825	600.39	388.7263	1276.109	181.95	431.0138	325.3688	243.9963	271.3213	336.4788	106.4925
D13705	409.9962	307.8938	146.9075	199.875	349.435	373.5363	288.0488	364.1363	726.0963	487.6538	745.1838	422.8238	412.3712	307.55	474.335	498.25	217.0563	250.435	356.8225	448.1925	387.345	484.7338	427.6813	145.2525	495.1013	194.2588	230.0038	501.73	623.1713	515.5125	528.9088	308.6438	291.6325	523.3063	235.51	420.46	409.465	375.42	381.5638	397.2888	142.3538	660.2775	482.605	473.1163	870.5063	609.955	898.6625	235.4175	188.6225	319.9525	398.9838	1103.528	430.7763	571.4975	312.2663	261.9	242.205	185.3425	475.3438	128.0163	307.6688	456.0025
D14043	543.4463	962.765	60.1775	410.4938	532.0313	199.09	338.6225	280.3338	512.585	420.6013	1774.623	1207.275	209.8313	337.5913	331.7888	136.8913	526.1313	554.485	250.6425	288.9987	667.7338	828.395	87.16625	87.35625	415.9325	220.9638	374.6075	691.1775	812.8925	1163.361	466.3163	521.5263	575.1063	322.1763	554.0338	231.8325	419.7275	204.4188	103.375	476.1338	179.62	543.7975	1374.443	2016.083	1039.126	1287.36	934.3	479.3963	411.1025	291.425	522.1188	784.3963	215.6675	240.1375	219.5638	205.2488	117.8038	85.05125	318.3763	411.67	283.2038	408.6888
D14520	583.8412	476.3563	98.3975	162.0013	358.2638	392.6038	350.0575	492.5613	751.7725	701.8375	926.7363	449.24	793.3463	591.4588	878.295	116.415	616.095	546.14	619.9625	481.8588	483.5013	620.4037	949.02	349.0463	582.85	797.22	648.3825	832.0988	965.7263	1183.399	1459.01	850.9125	636.1463	766.3963	1043.911	1177.741	397.3063	914.655	437.245	906.5538	412.475	1402.345	494.8875	1408.674	1584.134	1904.03	556.0063	288.5625	302.995	933.2888	1040.634	3175.253	1081.433	1248.36	238.015	583.375	488.4238	184.405	1239.055	378.5188	444.475	503.5638
D14658	205.6063	385.0525	79.91625	167.7825	106.255	39.63375	114.4188	36.1675	558.035	150.325	197.7738	255.7563	94.335	114.9925	145.2788	167.3238	79.14875	80.9325	172.225	40.0775	351.6988	255.57	194.735	31.72	257.2688	184.1875	170.7938	468.57	516.6563	317.735	444.8325	80.8575	78.56625	328.3988	248.5638	153.0013	320.2113	137.4625	198.0563	269.4563	196.9325	174.185	450.0475	269.2338	501.1413	413.6075	514.9375	315.5825	71.8625	155.5225	319.2513	220.435	233.03	434.1563	220.5663	105.5913	284.27	200.7088	342.8275	357.6625	181.1875	91.8625
D14661	87.1025	153.7475	34.8225	123.8588	33.51125	20.70375	61.105	27.16	186.9512	54.47875	29.58125	103.7838	60.53625	70.40875	83.425	131.0125	27.2975	50.36	58.77375	31.5375	73.395	154.5888	35.54125	21.01	122.6663	57.315	64.055	178.2988	240.4463	142.205	165.5613	27.91875	58.7375	91.24625	87.0975	48.965	122.47	45.3425	71.1625	85.6825	76.81875	52.8	194.4113	55.16875	290.4175	84.59	210.7263	172.4688	23.6125	37.29625	36.15375	68.3275	62.39375	149.8325	29.10375	21.69	89.4425	49.73625	133.2488	96.27125	54.375	47.1275
D14662	711.3688	1650.223	375.985	826.1825	445.1913	439.1513	392.2663	167.8338	1236.919	848.575	438.34	1540.864	354.7088	490.3038	402.1975	372.1063	126.6663	649.2162	383.8775	587.9388	842.835	1710.339	223.4113	191.2775	552.0425	548.4138	497.7575	969.5963	1229.583	885.3988	1200.465	188.6163	254.1425	987.6538	506.0238	365.6925	1029.642	268.0788	1482.841	631.6425	803.8275	1114.774	2220	930.1175	1996.798	759.1825	1303.874	2396.825	1112.06	821.6838	560.175	1007.409	1068.865	1752.035	506.4075	1083.871	1192.749	550.8613	812.5413	1371.13	607.0513	1063.806
